order_id,order_date,customer_id,category,sales_amount,quantity,profit
1000.0,2024-10-18,160,Electronics,138.28,5,19.86185190855332
1001.0,2024-03-08,191,Home & Kitchen,278.78,4,80.19903358523909
1002.0,2023-11-26,124,Sports,439.16,3,102.32361487147418
1003.0,2023-10-28,153,Fashion,408.51,1,81.56499434483285
1004.0,2024-11-08,131,Electronics,433.67,7,38.598650950167865
1005.0,2023-12-27,83,Electronics,325.69,8,28.98596383207446
1006.0,2024-01-16,125,Fashion,416.03,9,26.842631292584006
1007.0,2023-06-20,104,Electronics,174.11,1,46.4079821852185
1008.0,2024-06-17,110,Beauty,305.86,5,61.25725937294447
1009.0,2024-10-17,138,,494.05,4,112.15831426503406
1010.0,2023-09-08,98,Electronics,345.4,8,19.04747108244254
1011.0,2023-06-27,56,Beauty,401.85,5,117.53206852282437
1012.0,2024-01-03,168,Electronics,472.94,9,122.07085563503786
1013.0,2023-05-07,3,,435.6,8,44.90372915286428
1014.0,2023-10-23,173,Electronics,249.74,3,23.83924182757533
1015.0,2023-04-14,136,Beauty,462.14,7,44.296640045916476
1016.0,2024-02-18,91,Beauty,91.83,1,11.576141292743586
1017.0,2024-02-27,91,Sports,434.02,8,78.63969661425597
1018.0,2024-12-07,3,Fashion,372.37,9,58.82934164794117
1019.0,2024-02-04,119,Fashion,206.05,10,25.304441084451636
1020.0,2023-07-24,103,Electronics,288.59,6,58.57315672198287
1021.0,2023-10-25,13,Electronics,323.98,5,27.49730524351213
1022.0,2023-04-19,130,Home & Kitchen,235.37,8,28.959021481433574
1023.0,2023-08-30,192,Sports,304.08,5,43.05482732718644
1024.0,2023-05-13,133,Beauty,159.32,4,26.131267471364538
1025.0,2024-04-04,176,Electronics,461.19,5,113.58832540871099
1026.0,2023-10-20,112,Electronics,244.95,8,24.475023234922553
1027.0,2024-07-16,144,Electronics,386.52,3,69.01647378390729
1028.0,2024-03-12,73,Electronics,88.54,5,17.540096481761314
1029.0,2023-12-04,17,Fashion,28.24,9,1.739939913803184
1030.0,2023-09-21,178,Electronics,91.24,10,18.420098071871806
1031.0,2023-12-07,3,Beauty,52.48,8,4.861276502777264
1032.0,2024-12-11,75,Home & Kitchen,331.48,2,21.964825510690115
1033.0,2024-12-24,147,Sports,182.89,9,52.52991897706553
1034.0,2023-09-08,28,Beauty,148.83,10,43.37025387062167
1035.0,2023-03-30,12,Electronics,178.4,3,44.97452172599417
1036.0,2023-12-30,12,Home & Kitchen,26.39,5,3.3291893421213135
1037.0,2024-11-16,3,Electronics,329.69,8,24.534879816691177
1038.0,2024-02-11,95,Beauty,146.35,4,32.35187585751354
1039.0,2024-01-28,146,Fashion,87.77,6,14.0465460938812
1040.0,2024-08-05,90,Fashion,467.61,5,37.64707474894176
1041.0,2024-11-06,105,,431.24,8,74.94702267909604
1042.0,2024-08-19,76,,302.84,9,17.745554933633183
1043.0,2023-08-24,146,,288.95,3,80.13453254516602
