order_id,order_date,customer_id,category,sales_amount,quantity,profit
1000.0,2024-10-15,198,Home & Kitchen,176.26,6,25.317110337009026
1001.0,2024-05-01,171,Beauty,90.03,8,25.899702251521187
1002.0,2024-08-24,62,Home & Kitchen,290.81,9,67.75828955454368
1003.0,2023-06-08,172,Home & Kitchen,341.19,5,68.12357205579673
1004.0,2024-11-02,88,Home & Kitchen,130.49,5,11.614218097833387
1005.0,2023-05-24,60,Electronics,153.87,1,13.694219211032877
1006.0,2024-06-28,164,Electronics,20.55,1,1.3259045575141248
1007.0,2023-07-13,30,Sports,21.84,4,5.821321755931146
1008.0,2023-09-18,172,,74.2,5,14.860683467836525
1009.0,2023-09-04,101,Electronics,203.2,3,46.13008695203911
1010.0,2023-07-21,68,Fashion,383.72,3,21.16067053779633
1011.0,2024-07-07,98,Fashion,313.54,10,91.70338376171793
1012.0,2023-02-23,49,Fashion,489.88,4,126.44325021882764
1013.0,2024-03-16,85,Fashion,336.71,10,34.70967548912059
1014.0,2023-01-31,97,Sports,414.23,3,39.540839041549326
1015.0,2024-02-12,60,,208.07,4,19.943744091300992
1016.0,2024-07-09,150,Fashion,209.05,8,26.352960222672838
1017.0,2023-12-29,175,Home & Kitchen,399.57,2,72.39773184682332
1018.0,2023-08-18,156,,233.29,8,36.8566133497548
1019.0,2023-04-13,137,Sports,79.25,3,9.732477340173705
1020.0,2024-03-28,163,,499.32,7,101.34359684819464
1021.0,2024-10-08,130,,315.74,6,26.797947890568924
1022.0,2024-08-14,149,Sports,374.04,5,46.02044608452825
1023.0,2023-12-06,121,Home & Kitchen,319.96,6,45.303283845062396
1024.0,2023-08-26,190,Home & Kitchen,234.84,8,38.517868773382176
1025.0,2024-11-01,19,Fashion,240.85,1,59.319907575376824
1026.0,2023-02-08,102,,237.86,5,23.766601456046864
1027.0,2023-04-24,28,Electronics,444.01,7,79.28180825000693
1028.0,2023-09-14,48,Beauty,336.28,6,66.61829280423191
1029.0,2024-05-17,86,Electronics,379.83,2,23.402315065859185
1030.0,2023-06-02,104,Home & Kitchen,249.53,4,50.37666672374148
1031.0,2024-02-02,71,Fashion,241.97,5,22.413930552153484
1032.0,2023-12-24,87,Home & Kitchen,239.38,10,15.862012582204054
1033.0,2024-07-27,14,Sports,471.13,3,135.31861079154072
1034.0,2024-09-02,187,,221.6,8,64.57601463233058
1035.0,2024-02-21,38,Electronics,78.89,2,19.888116698226906
1036.0,2023-06-18,11,Sports,417.57,7,52.677892898431104
1037.0,2024-10-11,53,Beauty,250.04,3,18.607483846539054
1038.0,2024-12-22,80,Sports,328.22,6,72.55574099045505
1039.0,2023-05-22,192,Electronics,121.5,7,19.444631997340387
1040.0,2023-09-13,176,Home & Kitchen,253.44,1,20.404342559765187
1041.0,2023-06-17,139,Beauty,453.99,2,78.90084135535389
1042.0,2024-02-19,78,Fashion,341.32,10,20.000372506761586
1043.0,2024-06-23,185,,40.04,7,11.104297224808608
1044.0,2024-01-05,120,Beauty,213.98,7,24.542435115692903
1045.0,2023-08-02,68,Home & Kitchen,46.57,1,10.041915695591234
1046.0,2023-01-11,67,Electronics,357.89,1,45.784069255409825
1047.0,2023-12-03,114,Electronics,269.04,6,48.43177510441956
1048.0,2023-01-26,74,Electronics,131.31,2,24.51263169514151
1049.0,2024-07-14,1,Sports,122.35,6,11.771735658387058
1050.0,2024-02-15,39,Home & Kitchen,70.13,10,20.50574248628212
,2023-02-18,91,Electronics,424.48,8,103.48109521508148
1052.0,2024-05-25,126,Sports,25.26,6,7.1959358159778555
1053.0,2024-11-06,17,Beauty,98.65,8,27.00117952992189
1054.0,2023-04-09,142,Fashion,274.36,2,54.727959546652336
1055.0,2023-02-20,82,Home & Kitchen,298.12,8,83.6132867362729
1056.0,2023-03-27,18,Home & Kitchen,253.04,10,18.250035679804427
1057.0,2024-01-24,168,Fashion,48.83,1,4.833960792981715
1058.0,2023-03-28,61,Beauty,14.86,3,0.9110193783026489
1059.0,2024-04-19,157,Sports,36.02,7,4.730599628523197
1060.0,2024-08-04,173,Home & Kitchen,177.21,7,26.07987562646828
1061.0,2024-12-21,35,Fashion,353.13,6,41.61187089757897
1062.0,2023-06-11,112,,262.7,10,67.56233591355296
1063.0,2024-08-07,95,Electronics,164.94,10,22.957723426210155
1064.0,2023-04-03,23,Beauty,63.99,9,7.693749818723874
1065.0,2023-11-19,182,Sports,492.71,6,91.48344678322516
1066.0,2023-08-18,47,Home & Kitchen,192.53,4,16.409535258597764
1067.0,2024-06-15,98,,64.38,6,16.130360405236267
1068.0,2024-11-30,126,Fashion,313.71,4,21.532320607195224
